Date,Open,High,Low,Close,Adj Close,Volume
2003-05-01,11.321407,11.321407,11.321407,11.321407,11.321407,0
2003-05-02,11.321407,11.434622,11.245932,11.321407,11.321407,573000
2003-05-05,11.283669,11.510098,11.283669,11.321407,11.321407,282400
2003-05-06,11.510098,11.510098,11.283669,11.321407,11.321407,159400
2003-05-07,11.321407,11.359146,10.151528,10.227005,10.227005,862600
2003-05-08,10.189267,10.264743,9.698672,9.698672,9.698672,596300
2003-05-09,9.585459,10.038315,9.057126,9.962839,9.962839,1698800
2003-05-12,10.038315,12.264858,9.962839,12.151644,12.151644,1143500
2003-05-13,12.151644,12.151644,11.321407,11.472360,11.472360,759000
2003-05-14,11.510098,11.510098,10.755337,10.830813,10.830813,834200
2003-05-15,10.830813,10.838361,10.370409,10.642123,10.642123,586200
2003-05-16,10.566648,10.642123,10.453433,10.566648,10.566648,664100
2003-05-19,10.604385,10.642123,10.528909,10.604385,10.604385,311100
2003-05-20,10.566648,10.604385,10.453433,10.513814,10.513814,313700
2003-05-21,10.513814,10.944027,10.491171,10.717599,10.717599,535800
2003-05-22,10.755337,11.094979,10.755337,11.057241,11.057241,257600
2003-05-23,11.094979,11.170456,11.027051,11.132717,11.132717,82600
2003-05-27,11.132717,11.245932,11.132717,11.238384,11.238384,270000
2003-05-28,11.208194,11.676145,11.208194,11.661050,11.661050,511400
2003-05-29,11.661050,12.038430,11.661050,11.962955,11.962955,586700
2003-05-30,11.962955,12.151644,11.962955,12.000692,12.000692,518300
2003-06-02,12.000692,12.038430,11.698788,11.887478,11.887478,424100
2003-06-03,11.849740,11.887478,11.321407,11.359146,11.359146,139100
2003-06-04,11.245932,11.472360,11.110075,11.321407,11.321407,424100
2003-06-05,11.291217,11.698788,11.291217,11.585574,11.585574,557500
2003-06-06,11.623312,12.181834,11.532741,12.076168,12.076168,489500
2003-06-09,12.174287,13.963069,12.151644,13.359261,13.359261,905900
2003-06-10,13.246047,16.166969,13.208309,14.793306,14.793306,2142900
2003-06-11,15.057472,15.095210,13.706450,14.529140,14.529140,1116300
2003-06-12,14.491402,14.717830,13.812118,14.008355,14.008355,342200
2003-06-13,13.842308,14.151759,12.996976,13.963069,13.963069,769100
2003-06-16,13.985712,18.438799,13.887593,16.982111,16.982111,3747400
2003-06-17,17.019850,17.359491,15.449947,16.431137,16.431137,1441500
2003-06-18,16.431137,16.604731,15.517876,16.453779,16.453779,753300
2003-06-19,16.106588,17.970848,16.023565,17.314205,17.314205,935700
2003-06-20,17.699135,20.378534,17.684038,19.019964,19.019964,4259100
2003-06-23,19.284130,20.363438,19.050156,19.820011,19.820011,1599400
2003-06-24,19.948320,20.212486,18.755798,18.801085,18.801085,774400
2003-06-25,18.944489,19.623774,18.906752,19.359608,19.359608,541900
2003-06-26,19.457726,19.887939,18.763346,18.891655,18.891655,830800
2003-06-27,18.687870,19.352060,18.302942,19.352060,19.352060,977400
2003-06-30,18.831274,20.416271,18.793537,20.370987,20.370987,2106300
2003-07-01,20.220034,20.220034,19.442631,19.586035,19.586035,956300
2003-07-02,19.608679,20.303057,19.110537,20.106819,20.106819,816500
2003-07-03,19.706797,19.925678,19.253941,19.419989,19.419989,166000
2003-07-07,19.623774,19.774725,18.869013,19.487917,19.487917,210200
2003-07-08,19.465273,19.774725,19.019964,19.593582,19.593582,475800
2003-07-09,19.623774,19.631321,18.952036,19.306774,19.306774,637700
2003-07-10,19.133179,19.548298,17.925562,19.019964,19.019964,571400
2003-07-11,18.944489,18.944489,17.925562,18.265203,18.265203,821900
2003-07-14,18.333132,18.793537,18.333132,18.567108,18.567108,206300
2003-07-15,18.680323,18.680323,18.212372,18.453894,18.453894,125400
2003-07-16,18.453894,19.246393,18.453894,18.642584,18.642584,486700
2003-07-17,18.619942,18.869013,18.038776,18.204823,18.204823,343700
2003-07-18,18.302942,18.476538,17.585920,18.302942,18.302942,638700
2003-07-21,17.933109,18.582203,17.744419,18.084063,18.084063,296700
2003-07-22,18.265203,18.302942,17.608562,18.302942,18.302942,348500
2003-07-23,18.038776,18.302942,17.699135,18.016134,18.016134,377800
2003-07-24,18.114252,18.189728,17.027397,17.246277,17.246277,620800
2003-07-25,17.208540,17.502895,16.499065,17.487801,17.487801,273100
2003-07-28,17.472706,17.548182,16.612278,17.246277,17.246277,373700
2003-07-29,17.246277,17.548182,17.246277,17.472706,17.472706,231300
2003-07-30,17.284016,17.434967,16.582088,16.951921,16.951921,520100
2003-07-31,16.989658,17.955753,16.982111,17.661396,17.661396,449400
2003-08-01,17.774611,17.963301,17.359491,17.623657,17.623657,103900
2003-08-04,17.450064,17.706682,17.359491,17.706682,17.706682,138200
2003-08-05,17.736872,17.850086,17.540634,17.804800,17.804800,210500
2003-08-06,17.699135,18.023682,17.623657,17.827444,17.827444,144000
2003-08-07,17.850086,18.680323,17.759514,18.318037,18.318037,355800
2003-08-08,18.265203,18.899202,18.265203,18.755798,18.755798,436200
2003-08-11,18.861465,18.869013,18.416157,18.431252,18.431252,155600
2003-08-12,18.431252,18.438799,17.517992,18.038776,18.038776,561900
2003-08-13,17.963301,18.363323,17.948204,18.151991,18.151991,147500
2003-08-14,18.151991,18.446346,18.151991,18.416157,18.416157,157800
2003-08-15,18.438799,18.642584,18.378418,18.431252,18.431252,75600
2003-08-18,18.408609,18.604847,18.129347,18.401062,18.401062,196700
2003-08-19,18.348228,18.589752,18.348228,18.491632,18.491632,228700
2003-08-20,18.491632,18.680323,18.318037,18.416157,18.416157,119500
2003-08-21,18.453894,20.038891,18.453894,19.850201,19.850201,735000
2003-08-22,20.038891,21.978626,19.887939,21.321985,21.321985,703000
2003-08-25,20.884224,21.699364,20.884224,21.510674,21.510674,363500
2003-08-26,21.246508,21.737103,20.869127,21.586151,21.586151,248400
2003-08-27,21.540865,21.850317,21.216318,21.661627,21.661627,145600
2003-08-28,21.623888,22.220150,21.329533,22.220150,22.220150,167900
2003-08-29,22.642815,24.356121,22.461672,23.148504,23.148504,1719200
2003-09-02,23.095671,23.095671,21.971079,21.986174,21.986174,1385100
2003-09-03,21.948435,22.718292,21.948435,22.378649,22.378649,748000
2003-09-04,22.167316,22.401293,21.729555,22.401293,22.401293,271400
2003-09-05,22.069197,22.718292,21.963531,22.680553,22.680553,490500
2003-09-08,22.325815,22.423935,21.850317,22.242792,22.242792,403200
2003-09-09,22.212603,22.212603,21.171032,21.284246,21.284246,268000
2003-09-10,21.337080,21.442745,20.854033,21.125746,21.125746,193200
2003-09-11,21.080462,21.480484,20.944605,21.103104,21.103104,398800
2003-09-12,20.944605,20.944605,20.197392,20.552128,20.552128,328100
2003-09-15,20.491747,20.786104,20.370987,20.378534,20.378534,176900
2003-09-16,20.378534,20.604961,19.812464,20.227581,20.227581,242400
2003-09-17,20.159653,20.861580,20.084177,20.740818,20.740818,128600
2003-09-18,20.831390,20.876677,20.393629,20.725723,20.725723,102500
2003-09-19,20.537033,20.703081,20.348343,20.567225,20.567225,61800
2003-09-22,20.469105,20.846485,19.736988,19.774725,19.774725,247500
2003-09-23,19.963415,20.491747,19.699249,20.491747,20.491747,117200
2003-09-24,20.514391,20.529486,19.812464,19.993607,19.993607,56200
2003-09-25,19.955868,20.114368,19.404892,19.435083,19.435083,248400
2003-09-26,19.472820,19.472820,18.310490,19.238846,19.238846,425300
2003-09-29,19.095440,19.887939,18.416157,19.412439,19.412439,217800
2003-09-30,19.442631,19.525654,18.499180,18.816179,18.816179,504200
2003-10-01,18.906752,19.382250,18.816179,19.382250,19.382250,316700
2003-10-02,19.284130,19.404892,18.529371,18.702965,18.702965,210000
2003-10-03,18.642584,19.472820,18.612394,19.057703,19.057703,251500
2003-10-06,18.921846,19.555845,18.687870,19.057703,19.057703,182100
2003-10-07,19.057703,19.095440,18.589752,19.019964,19.019964,87500
2003-10-08,19.050156,19.669060,19.012417,19.472820,19.472820,288800
2003-10-09,19.480370,21.548412,19.472820,21.548412,21.548412,550300
2003-10-10,21.586151,22.491863,21.321985,22.491863,22.491863,511000
2003-10-13,22.627720,23.020195,22.431482,23.020195,23.020195,625100
2003-10-14,22.929625,23.322100,22.642815,23.042839,23.042839,552800
2003-10-15,23.080576,23.488148,22.529602,22.657911,22.657911,496100
