Date,wagner,oil,mario,pokemon,gold,valentino,romeo
19700622,0,3.39,0,0,36.02,0,35000
19700623,0,3.39,0,0,36.02,0,35000
19700624,0,3.39,0,0,36.02,0,35000
19700625,0,3.39,0,0,36.02,0,35000
19700626,0,3.39,0,0,36.02,0,35000
19700629,0,3.39,0,0,36.02,0,35000
19700630,0,3.39,0,0,36.02,0,35000
19700701,0,3.39,0,0,36.02,0,35000
19700702,0,3.39,0,0,36.02,0,35000
19700706,0,3.39,0,0,36.02,0,35000
19700707,0,3.39,0,0,36.02,0,35000
19700708,0,3.39,0,0,36.02,0,35000
19700709,0,3.39,0,0,36.02,0,35000
19700710,0,3.39,0,0,36.02,0,35000
19700713,0,3.39,0,0,36.02,0,35000
19700714,0,3.39,0,0,36.02,0,35000
19700715,0,3.39,0,0,36.02,0,35000
19700716,0,3.39,0,0,36.02,0,35000
19700717,0,3.39,0,0,36.02,0,35000
19700720,0,3.39,0,0,36.02,0,35000
19700721,0,3.39,0,0,36.02,0,35000
19700722,0,3.39,0,0,36.02,0,35000
19700723,0,3.39,0,0,36.02,0,35000
19700724,0,3.39,0,0,36.02,0,35000
19700727,0,3.39,0,0,36.02,0,35000
19700728,0,3.39,0,0,36.02,0,35000
19700729,0,3.39,0,0,36.02,0,35000
19700730,0,3.39,0,0,36.02,0,35000
19700731,0,3.39,0,0,36.02,0,35000
19700803,0,3.39,0,0,36.02,0,35000
19700804,0,3.39,0,0,36.02,0,35000
19700805,0,3.39,0,0,36.02,0,35000
19700806,0,3.39,0,0,36.02,0,35000
19700807,0,3.39,0,0,36.02,0,35000
19700810,0,3.39,0,0,36.02,0,35000
19700811,0,3.39,0,0,36.02,0,35000
19700812,0,3.39,0,0,36.02,0,35000
19700813,0,3.39,0,0,36.02,0,35000
19700814,0,3.39,0,0,36.02,0,35000
19700817,0,3.39,0,0,36.02,0,35000
19700818,0,3.39,0,0,36.02,0,35000
19700819,0,3.39,0,0,36.02,0,35000
19700820,0,3.39,0,0,36.02,0,35000
19700821,0,3.39,0,0,36.02,0,35000
19700824,0,3.39,0,0,36.02,0,35000
19700825,0,3.39,0,0,36.02,0,35000
19700826,0,3.39,0,0,36.02,0,35000
19700827,0,3.39,0,0,36.02,0,35000
19700828,0,3.39,0,0,36.02,0,35000
19700831,0,3.39,0,0,36.02,0,35000
19700901,0,3.39,0,0,36.02,0,35000
19700902,0,3.39,0,0,36.02,0,35000
19700903,0,3.39,0,0,36.02,0,35000
19700904,0,3.39,0,0,36.02,0,35000
19700908,0,3.39,0,0,36.02,0,35000
19700909,0,3.39,0,0,36.02,0,35000
19700910,0,3.39,0,0,36.02,0,35000
19700911,0,3.39,0,0,36.02,0,35000
19700914,0,3.39,0,0,36.02,0,35000
19700915,0,3.39,0,0,36.02,0,35000
19700916,0,3.39,0,0,36.02,0,35000
19700917,0,3.39,0,0,36.02,0,35000
19700918,0,3.39,0,0,36.02,0,35000
19700921,0,3.39,0,0,36.02,0,35000
19700922,0,3.39,0,0,36.02,0,35000
19700923,0,3.39,0,0,36.02,0,35000
19700924,0,3.39,0,0,36.02,0,35000
19700925,0,3.39,0,0,36.02,0,35000
19700928,0,3.39,0,0,36.02,0,35000
19700929,0,3.39,0,0,36.02,0,35000
19700930,0,3.39,0,0,36.02,0,35000
19701001,0,3.39,0,0,36.02,0,35000
